,ID,FieldID,Filename,Filter,StarID,MJD,Airmass,Exptime
0,1,1,Z-ADP.2017-01-18T11:58:36.905.fits,Z,"[   0    1    2 ..., 9997 9998 9999]",57267.1671072,1.6405,40.0
1,2,1,J-ADP.2017-01-18T11:58:35.781.fits,J,"[   0    1    2 ..., 9997 9998 9999]",57257.0504323,1.0105,48.0
2,3,1,H-ADP.2017-01-18T11:58:35.780.fits,H,"[   0    1    2 ..., 9997 9998 9999]",57257.044108,1.006,16.0
3,4,1,Ks-ADP.2016-05-25T15:33:39.546.fits,Ks_E002,"[   0    1    2 ..., 9997 9998 9999]",56788.346937,1.023,16.0
4,5,1,Ks-ADP.2017-01-18T11:58:39.907.fits,Ks_E001,"[   0    1    2 ..., 9997 9998 9999]",56561.0020158,1.079,16.0
5,6,1,Ks-ADP.2016-05-25T15:33:43.377.fits,Ks_E003,"[   0    1    2 ..., 9997 9998 9999]",56829.0390512,1.6085,16.0
6,7,1,Y-ADP.2017-01-18T11:58:36.901.fits,Y,"[   0    1    2 ..., 9997 9998 9999]",57267.1596647,1.5605,40.0
7,8,2,Z-ADP.2017-01-18T11:58:36.905b.fits,Z,"[170000 170001 170002 ..., 179997 179998 179999]",57268.1671072,1.6405,40.0
8,9,2,J-ADP.2017-01-18T11:58:35.781b.fits,J,"[170000 170001 170002 ..., 179997 179998 179999]",57258.0504323,1.0105,48.0
9,10,2,H-ADP.2017-01-18T11:58:35.780b.fits,H,"[170000 170001 170002 ..., 179997 179998 179999]",57258.044108,1.006,16.0
10,11,2,Ks-ADP.2016-05-25T15:33:39.546b.fits,Ks_E001,"[170000 170001 170002 ..., 179997 179998 179999]",56789.346937,1.023,16.0
11,12,2,Y-ADP.2017-01-18T11:58:36.901b.fits,Y,"[170000 170001 170002 ..., 179997 179998 179999]",57268.1596647,1.5605,40.0
12,13,3,Z-ADP.2017-01-18T11:58:36.905c.fits,Z,"[300000 300001 300002 ..., 309997 309998 309999]",57268.1671072,1.6405,40.0
13,14,3,J-ADP.2017-01-18T11:58:35.781c.fits,J,"[300000 300001 300002 ..., 309997 309998 309999]",57258.0504323,1.0105,48.0
14,15,3,H-ADP.2017-01-18T11:58:35.780c.fits,H,"[300000 300001 300002 ..., 309997 309998 309999]",57258.044108,1.006,16.0
15,16,3,Ks-ADP.2016-05-25T15:33:39.546c.fits,Ks_E002,"[300000 300001 300002 ..., 309997 309998 309999]",56789.346937,1.023,16.0
16,17,3,Ks-ADP.2017-01-18T11:58:39.907c.fits,Ks_E001,"[300000 300001 300002 ..., 309997 309998 309999]",56562.0020158,1.079,16.0
17,18,3,Y-ADP.2017-01-18T11:58:36.901c.fits,Y,"[300000 300001 300002 ..., 309997 309998 309999]",57268.1596647,1.5605,40.0
